.provi04;
15037307;P-373 VOLEIBOL PISO AD 2015
15039901;(TENIS DE MESA) PARTE 2 PROD 1
15039902;P- 339
15039903;P-399 TENIS MESA 2 AD 2015 ACT 3
15039904;P-399 TENIS MESA 2 AD 2015 ACT 4
15039905;P-399 TENIS MESA 2 AD 2015 ACT 5
15039906;P-399 TENIS MESA 2 AD 2015 ACT 6
15040001;ATLETISMO ACT 01 2015
15040002;ATLETISMO ACT 2 2015
15040003;ATLETISMO ACT 4
15040004;ATLTETISMO ACT 4 2015
15040005;ATLETISMO ACT. 6 2015
15040006;ATLETISMO ACT 6 2015
15040007;ATLETIAS ACT 7 2015
15040008;ATLETISMO ACT 8
15040009;ATLTISMO ACT 9
15040010;
15040011;ATLETISMO ACT 11 2015
15040012;ATLETISMO ACT 12
15040013;ACT 13 ATLETISMO
15040014;ATLETISMO ACT 14 2015
15040015;ATLETISMO ACT 15 2015
15040016;ATLETISMO ACT 16 2015
15040017;ATLETISMO ACT 17 2015
15040018;ATLETISMO ACT 18
15040019;
15040020;ATLETISMO ACT 20
15042601;BALONMANO PDE 2015 ACT 1 HONORARIOS
15042602;(BALONMANO) PDE PROD 2 VENEZUELA
15042603;PROY 426 BALONAMO PDE 2015 ACT 3
15042604;(BALONMANO) PDE PROD 4 APORTE PJE ARG
15042605;PROY 426 BALONMANO ACT 5 2015
15043101;CICLISMO ACT 1 ASIGNACION
15043102;CICISMO ACT 2 ASIG IRENE ARAVENA
15044801;P-448 TIRO ARCO PROD 1
15044802;P- 448 TIRO ARCO PROD 2
15044803;P-448 TIRO ARCO PROD 3
15045001;TENIS (PRODUCTO 1)
15045002;TENIS PROD. 2
15045003;TENIS PROD.3
15045004;TENIS PROD 4
15045005;TENIS PROD 5
15045006;TENIS PROD 6
15045007;P-450 TENIS AD 2015 ACT 7
15045008;P-450 TENIS AD 2015 ACT 8
15045009;P-450 TENIS AD 2015 ACT 9
15045010;P-450 TENIS AD 2015 ACT 10
15045011;P- 450 TENIS AD 2015 ACT 11
15045012;P-450 TENIS AD 2015 ACT 12
15045013;P-450 TENIS AD 2015 ACT 13
15045014;P-450 TENIS AD 2015 ACT 14
15045015;P-450 TENIS AD 2015 ACT 15
15045016;P-450 TENIS AD 2015 ACT 16
15045017;P-450 TENIS AD 2015 ACT 17
15045018;P-450 TENIS AD 2015 ACT 18
15045019;P-450 TENIS AD 2015 ACT 19
15045020;P-450 TENIS AD 2015 ACT 20
15045021;P-450 TENIS AD 2015 ACT 21
15045022;P-450 TENIS AD 2015 ACT 22
15045023;P- 450 TENIS AD 2015 ACT 23
15045024;P-450 TENIS AD 2015 ACT 24
15045101;(GIMNASIA) KINESIOLOGA TOMAS GONZALEZ
15045201;(KARATE) ENTRENADORES 2015
15045701;(BASQUETBALL) PRODUCTO 1
15045702;BASQUETBOL ACT 2 2015
15045703;BASQUETBOL ACT 3 2015
15045704;BASQUETBOL ACT 4 2015
15046701;P-467 TKD PROD 1
15047101;
15047801;P- 478 SQUASH ACT.1
15047802;P- 478 SQUASH ACT 2
15049201;(RACQUETBOL) PROD 1
15049202;P-492 RACQUETBOL ACT 2
15049203;P- 492 RACQUETBOL ACT.3
15049301;(KARATE) PDE PROD 1
15049401;(PARALIMPICA) PROD 1
15049402;P-494 PARALIMPICA AD 2015 II ACT 2
15049403;P- 494 PARALIMPICA AD 2015 II ACT 3
15049404;P- 494 PARALIMPICA AD 2015 II ACT 4
15049405;P-494 PARALIMPICA AD 2015 II ACT 5
15049406;P-494 PARALIMPICA AD 2015 II ACT 6
15049407;P- 494 PARALIMPICA AD 2015 II ACT 7
15049408;P-494 PARALIMPICA AD 2015 II ACT 8
15049409;P-494 PARALIMPICA AD 2015 II ACT 9
15049410;P-494 PARALIMPICA AD 2015 II ACT 10
15049411;P-494 PARALIMPICA AD 2015 II ACT 11
15049501;(PESAS) PARTE 2 PROD 1
15049502;P- 495 PESAS 2 AD 2015 PROD 2
15049503;P- 495 PESAS 2 AD 2015 PROD 3
15049504;P- 495 PESAS 2 AD 2015
15049505;P- 495 PESAS 2 AD 2015 PROD 5
15049506;P- 495 PESAS 2 AD 2015 PROD 6
15049507;P-495 PESAS II AD 2015 ACT 7
15049508;P- 495 PESAS 2 AD 2015 PROD 8
15050600;
15050601;(ESGRIMA) PROD 1
15050602;ACT 2 ESGRIMA 2015
15050603;ACT 3 ESGRIMA 2015
15050604;ACT 4 ESGR 2015
15050605;ACT 5 ESG 2015
15050606;ACT 6 ESG 2015
15050607;ESG ACT 7 2015
15050608;ACT 8 ESG 2015
15050609;ESGRIMA ACT 9 2015.
15050610;ESGRIMA ACT 10 2015.
15050611;ESGRIMA ACT 11 2015
15050612;ESGRIMA ACT 12 2015
15050801;(TIRO AL VUELO) PROD 1
15050802;P-508 TIRO VUELO AD 2015 PROD. 2
15050803;P-508 TIRO VUELO AD 2015 ACT. 3
15050804;P-508 TIRO VUELO AD 2015 ACT 4
15050805;P-508 TIRO VUELO AD 2015 ACT 5
15050901;(GIMNASIA) PROD 1
15050902;P-509 GIMNASIA AD 2015 ACT 2
15050903;P-509 GIMNASIA AD 2015 ACT 3
15050904;P-509 GIMNASIA AD 2015 ACT 4
15050905;P-509 GIMNASIA AD 2015 ACT 5
15050906;P-509 GIMNASIA AD 2015 ACT 6
15050909;ESGRIMA ACT 9 2015
15051201;(LUCHA) PROD 1
15051202;lucha act 2
15051401;(VARIOS) ADO -400 PROD 1
15051402;P- 514 VARIOS ADO 4002015 ACT 2
15051403;P- 514 VARIOS ADO 400 2015 ACT 3
15051404;P- 514 VARIOS ADO 400 ACT 4
15051405;P-514 VARIOS ADO 400 ACT 5
15051406;VARIOS 514
15051407;P-514 VARIOS AD 400
15051408;P- 514 VARIOS ADO 400 2015 ACT 8
15051412;P-514 VARIOS ADO 400 2015 ACT 12
15051901;(PESAS) ENTRENADOR 2015
15052000;
15052030;
15052401;KARATE COMPLEMENTO  PASAJE P-294
15052402;KARATE ACT 2
15052403;KARATE ACT 3.
15052404;KARATE ACT 4 2015
15052405;KARATE ACT 5 2015
15052601;BIATLON ACT 1 2015
15052602;BIATLON ACT 2 2015
15053701;AREA TECNICA (REMUNERACIONES)
15054401;CICLISMO IMPLEMENTACION
15055001;P- 550 REMO IMPLEMENTACION 2015
15055020;
15055301;(LUCHA)PDE P.1 2015 PROD 1
15055302;(LUCHA) PDE  PRODUCTO 2
15055701;(KARATE) SURAMERICANO 2015
15055801;(KARATE) PDE 1- 2015 PRODUCTO 1 ADM
15055802;PROYECTO 558 KARATE ACT 2
15055803;PROYECTO 558 ACT 3 KARATE
15055804;(KARATE) PDE PROD 4 SURAMERICANO NACIONAL
15055805;PROYECTO KARATE 558 ACT 5
15055901;(TRIATLON) PARTE 2 - PROD 1
15055902;P-559 TRIATLON 2 AD 2015 ACT 2
15055903;P-559 TRIATLON 2 D 2015 ACT 3
15055904;P-559 TRIATLON 2 AD 2015 ACT 4
15055905;P- 559 TRIATLON 2 AD 2015 ACT 5}
15055906;P-559 TRIATLON AD 2015 ACT 6
15055907;P-559 TRIATLON 2 AD 2015 ACT 7
15055908;P-559 TRIATLON 2 AD 2015 ACT 8
15055909;P-559 TRAITLON 2 AD 2015 ACT 9
15055910;P-559 TRIATLON 2 AD 2015 ACT 10
15055911;P-559 TRIATLON 2 AD 2015 ACT 11
15055912;P-559 TRIATLON 2 AD 2015 ACT 12
15055913;P-559 TRIATLON 2 AD 2015 ACT 13
15055914;P-559 TRIATLON 2 AD 2015
15055915;P-559 TRIATLON 2 AD 2015 ACT 15
15056001;(BALONMANO) PARTE 2 - PROD 1
15056002;BALONMANO ACT 2 2015
15056003;BALONMANO ACT 3 2015.
15056004;BALONMANO ACT 4 2015
15056005;BALONMANO ACT 5 2015
15056006;BALONMANO ACT 6 2015
15056007;BALONMANO  ACT 7
15056008;BALONMANO ACT 8 2015.
15056010;
15056030;
15056101;(PENTATLON) PARTE 2 - PROD 1
15056102;P- 561 PENTATLON MODERNO ACT.2
15056301;(RUGBY) PARTE 2 - PROD 1
15056302;P-563 RUGBY 2 AD 2015 ACT 2
15056303;P-563 RUGBY 2 AD 2015 ACT 3
15056304;P-563 RUGBY 2 AD 2015 ACT 4
15056305;P- 563 RUGBY 2 AD 2015 ACT. 5
15056401;(JUDO) PARTE 2 - PROD 1
15056402;P-564 JUDO AD 2015 PTE II ACT 2
15056403;P-564 JUDO AD 2015 PTE II ACT 3
15056404;P-564 JUDO AD 2015 PTE II ACT 4
15056405;P-564 JUDO AD 2015 PTE II ACT 5
15056501;(CANOTAJE) PROD 1
15056502;CANOTAJE ACT 2
15056503;CANOTAJE ACT 3 2015
15056504;CANOTAJE ACT 4 2015.
15056505;CANOTAJE ACT 5 2015
15056506;CANOTAJE ACT 6 2015.
15056507;CANOTAJE ACT 7 2015
15056508;CANOTAJE ACT 8 2015
15056509;CANOTAJE ACT 9 2015
15056601;(BADMINTON) PARTE 2 - PROD 1
15056602;BADMINTON ACT 2 2015
15056701;(VOLEIBOL PLAYA) PARTE 2- PROD 1
15056702;P- 567 VOLEY PLAYA II AD 2015 ACT 2
15056703;P-567 VOLEY PLAYA AD 2015 II ACT 3
15056801;(CICLISMO) PARTE 2- PROD 1
15056802;CICLISMO ACT 2 2015
15056803;CICLISMO ACT 3 2015.
15056804;CICLISMO ACT 4 2015
15056805;CICLISMO ACT 5 2015.
15056806;CICLISMO  RUTA ACT 6 2015
15056901;(TAEKWONDO) PARTE 2- PROD 1
15056902;P- 569 TKD 2 AD  2015 PROD 2
15057201;CICLISMO IMPLEMENTACION ACT 1
15057202;CICLISMO ACT 2 2015
15057203;IMPLEMENTACION CICLISMO ACT 3
15058701;P- 587 VELA IMPLEMENTACION
15059001;(TECNICOS) ADM TEC 2015
15059100;
15059901;
15060107;
15060201;
15060501;P-605 REMO III AD 2015 ACT 1
15060502;P-605 REMO 3 AD 2015 ACT 2
15060701;P- 607 VELA IMPLEMENTACION AD 2015
15060801;P- 608 VELA AD 2015 ACT. 1
15060802;P-608 VELA AD 2015 ACT 2
15060803;P- 608 VELA AD 2015 PROD 3
15060804;P-608 VELA AD 2015 PROD 4
15060805;P-608 VELA AD 2015
15060806;P-608 VELA AD 2015 PROD 6
15060807;P-608 VELA AD 2015 PROD 7
15060808;P-608 VELA AD 2015 PROD 8
15060809;P-608 VELA AD 2015
15060810;P-608 VELA AD 2015 PROD 10
15060811;P-608 VELA AD 2015 PROD 11
15060812;P-608 VELA AD 2015 PROD 12
15060813;P- 608 VELA AD 2015 PROD 13
15060814;P-608 VELA AD 2015 PROD 14
15060815;P-608 VELA AD 2015 PROD 15
15060816;P-608 VELA AD 2015 PROD 16
15060817;P-608 VELA AD 2015 PROD 17
15060901;HOCKEY PATIN
15060902;H.PATIN ACT 2 2015
15060903;PATIN ACT 3 2015....
15062401;(GIMNASIA) ENTRENADOR ROSAMEL ESPEJO
15063301;P- 633 TIRO AL BLANCO PROD 1
15063302;P- 633 TIRO BLANCO 2 AD 2015 ACT 2
15063303;P-633  TIRO BLANCO 2 AD 2015 ACT 3
15063401;P-- 634 REMO PROD 1
15063402;P- 634  REMO 2 AD 2015 ACT1
15063403;P- 634 REMO ACT 3
15063501;KARATE ACT 1 CAROL MORALES
15063801;P- 638 VELA 2 AD 2015 PROD 1
15063802;P-638 VELA II AD 2015 PROD 2
15063803;
15063804;P-638 VELA AD 2015 II ACT 4
15063805;P-638 VELA AD 2015 II ACT 5
15063806;P-638 VELA AD 2015 II ACT 6
15063807;P- 638 VELA AD 2015 II ACT 7
15063808;P-638 VELA AD 2015 II ACT 8
15063809;P-638 VELA AD 2015 II ACT 9
15063810;P-638 VELA AD 2015 II ACT 10
15063811;P-638 VELA AD 2015 II ACT 11
15063812;P- 638 VELA AD 2015 II ACT 12
15063813;P- 638 VELA AD 2015 II ACT 13
15063814;P- 638 VELA AD 2015 II ACT 14
15063815;P- 638 VELA AD 2015 II ACT 15
15064001;P-640 ASIGNACIONES ESPECIALES TRANSITORIAS
15064002;ASIGNACIONES 2015
15064003;ASIGNACIONES ACT 3  2015
15064004;ASIGNACION ACT 4
15064005;
15064006;ASIGNACION P-640
15064007;SIGNACION P-640
15064008;PASAJE P-640
15064010;ASIGNACIO 10
15064050;
15064601;P-646 VELA 3 AD 2015 PROD 1
15064602;P-646 VELA III AD 2015 ACT 2
15064603;P-646 VELA III AD 2015 ACT 3
15064604;
15064605;P-646 VELA AD 2015 III ACT 5
15066101;(VOLEIBOL) HEAD COACH COMPL  P-113
15067601;P- 676 VELA 4 AD 2015 ACT. 1
15068001;P- 680 VELA AD 2015 ACT 1
15068101;KARATE PDE 2 ACT 1
15068501;P-685 PESAS 3 AD 2015 ACT 1
15068502;P-685 PESAS 3 AD 2015 ACT 2
15068701;P-687 PENTATLON MODERNO 2 AD 2015
15068703;P-687 PENTATLON MODERNO AD 2015 ACT 3
15068801;P- 688 SQUASH 2 AD 2015
15068901;P- 689 TKD 3 AD 2015 ACT 1
15068902;P-682 3 AD 2015 ACT 2
15069101;P-691 TENIS 2 AD 2015
15069201;P-692 TIRO ARCO 2 AD 2015
15069301;P-693 VOLEIBOL PISO 2 AD 2015
15069401;GIMNASIA ACT 1 2015..
15069402;GIMNASIA ACT 2 2015
15069403;GIMNASIA ACT 3 2015...
15069404;GIMNASIA ACT 4 2015
15069405;GIMNASIA ACT 5 2015..
15069406;GIMNASIA ACT 6 2015...
15069407;GIMNASIA ACT 7 2015
15069501;P-695 VOLEY PLAYA 2 AD 2015
15069502;P- 695 VOLEY PLAYA AD 2015 ACT 2
15069503;P-695 VOLEY PLAYA 2 AD 2015 ACT 3
15069504;P- 695 VOLEY PLAYA 3 AD 2015 ACT 4
15069505;P-695 VOLEY PLAYA 3 AD 2015 ACT 5
15069506;P- 695 VOLEY PLAYA 3 AD 2015 ACT 6
15069507;P- 695 VOLEY PLAYA 3 AD 2015 ACT 7
15069601;BOXEO ACTIVIDAD 2015
15069602;BOXEO ACT 2 2015
15069801;BOWLING ACT 1 2015
15069901;BADMINTON ACT 1 P-699
15069902;
15069903;BADMINTON ACT 3
15070101;P-701 TENIS 2 AD 2015 ACT 1
15070102;P- 701 TENIS 2 AD 2015
15070103;P-701 TENIS 2 AD 2015 ACT 3
15070104;P- 701 TENIS 2 AD 2015 ACT 4
15070105;P- 701 TENIS 2 AD 2015 ACT 5
15070106;P- 701 TENIS 2 AD 2015 ACT.6
15070107;P- 701 TENIS 2 AD 2015 ACT 7
15070108;P-701 TENIS 2 AD 2015 ACT 8
15070200;
15070201;P- 702 TIRO ARCO AD 2015 ACT 1
15070202;P- 702 TIRO ARCO AD 2015 ACT 2
15070203;P- 702 TIRO ARCO AD 2015 ACT 3
15070204;P- 702 TIRO ARCO AD 2015 ACT 4
15070205;P- 702 TIRO ARCO AD 2015 ACT 5
15070206;P-702 TIRO CON ARCO AD 2015 ACT 6
15070207;P-702 TIRO CON ACO AD 2015 ACT 7
15070301;P- 703 TIRO VUELO 2 AD 2015 ACT 1
15070601;P-706 PARALIMPICA 3 AD 2015 ACT 1
15072601;PROYECTO KARATE (2) 726 - 2015
15072602;KARATE PDE (2) ACTIVIDAD BOLIVIA
15072603;KARATE ACT 3 2015 726
15072604;PDE KARATE
15072605;KARATE PDE 2 ACT 5
15072610;
15072801;(CANOTAJE) HEAD COACH 2015
15072901;(NATACION) PROD 1 AD
15073401;MEMBRESêA DE AFILIACI”N A LA WKF
15073402;PAGO DE LA ORGANIZACI”N DE LOS JUEGOS DEPO
15073901;PANAMERICANO CICLISMO PISTA 2015
15074001;P-740 PESAS 4 ACT 1
15074301;ATLETISMO ACT 1 2015 ..
15074302;ATLETISMO ACT 2 2015...
15074303;ATLETISMO ACT 3 2015
15074304;ATLETISMO ACT 4 2015...
15074305;ATLETISMO ACT 5 2015...
15074306;ATLETISMO ACT 6 2015...
15074307;
15074308;ATLETISMO ACT 8 2015...
15074309;ATLETISMO ACT 9
15074310;ATLETISMO ACT 10 2015...
15074311;ATLETISMO ACT 11 2015
15074312;ATLETISMO ACT 12 2015...
15074313;ATLETISMO ACT 13 2015.
15074314;ATLETISMO ACT 14
15074315;ATLETISMO ACT 15
15074316;ATLETISMO ACT 16
15074317;ATLETISM ACT 17
15074318;ATLETISMO ACT 18 2015
15075201;HOCKEY CESPED GIRA MENDOZA
15075301;PATIN CARRERA ACT 1 2015.
15075302;act 2 patin
15075303;ACT 3 PATIN 2015
15075304;ACT 4 PATIN 2015...
15075305;PATIN ACT 5
15075308;ACT 8 PATIN IMPLEMENTACION
15076401;CICLISMO
15076402;CICLISMO ACT 2 2015...
15076403;CICLISMO ACT 3....
15076404;CICLISMO ACT 4 2015
15076405;CICLISMO ACT 5 CONC. ALTURA 2015
15076406;CICLISMO ACT 6 IMP
15076407;CICLISMO ACT 7 2015
15076408;CICLISMO MTB ACT 8
15076700;LUCHA ACT 2 2015...
15076701;lucha act 1 2015
15076702;LUCHAC ACT 2 2015...
15076801;natacion act 1 2015
15076802;NATACION ACT 2 2015...
15076803;NATACION ACT 3 2015..
15076804;NATACION ACT 04 2015...
15076805;NATACION ACT 5 2015...
15076806;NATACION ACT 6
15076807;NATACION ACT 7 2015
15076901;BALONMANO ACT 1 2015
15077001;BOXEO ACT 1 2015..
15077002;BOXEO ACT 2 2015
15077010;
15077101;JUDO ACT 1 2015..
15077102;judo act 2 2015..
15077201;CICLISMO 1 2015
15077202;CICLISMO ACT 2 2015..
15077301;(GIMNASIA) T.G GLASSGOW
15077401;GOLF ACT 1 2015
15077402;GOLF ACT 2 2015
15077403;GOLF ACT 3 2015
15077404;GOLF ACT 4 2015
15077501;HOCKEY PATIN ACT 1 2015
15077502;
15077601;ESGRIMA ACT 1 2015
15077602;ACT 2 ESGRIMA ARG.
15077603;ESGRIMA ACT 3 2015...
15077604;ACT 4 ESGRIMA ARG
15077701;ATLETISMO ACT 1 2015
15077702;ATLETISMO ACT 2 2015
15077801;P-778 SQUASH PROD 1
15077901;P-779 TKD AD 2015 ACT 1
15077902;P-779 TKD 4 AD 2015
15077903;P-779 TKD AD 2015 ACT 3
15078001;P- 780 TIRO VUELO AD 2015 ACT 1
15078101;P- 781 TENIS DE MESA AD 2015 ACT 1
15078102;P-781 TENIS MESA 3 AD 2015 ACT 2
15078103;P-781 TENIS MESA 3 AD 2015 ACT 3
15078201;P- 782 PENTATLON MODERNO AD 2015 ACT 1
15078202;P-782 PENTATLON MOD 4 AD 2015 ACT 2
15078203;P- 782 PENTATLON MOD 4 AD 2015 ACT 3
15078204;P-782 PENTATLON MOD 4 AD 2015 ACT 4
15078301;P-783 TENIS AD 2015 ACT 1
15078302;P-783 TENIS AD 2015 ACT 2
15078303;P-783 TENIS AD 2015 ACT 3
15078304;P-784 TENIS AD 2015 ACT 4
15078305;P- 783 TENIS 2 AD 2015
15078306;
15078307;P- 783 TENIS 2 AD 2015
15078308;P- 783 TENIS 2 AD 2015 ACT 8
15078401;P- 784 TRIATLON AD 2015 ACT 1
15078402;P-784 TRIATLON 3 AD 2015
15078501;P- 785 VOLEIBOL 3 AD 2015 ACT 1
15078502;P-785 VOLEIBOL AD 2015 ACT 2
15078503;P-785  VOLEIBOL 3 AD 2015 ACT 3
15078601;P- 786 VELA 5 AD 2015 ACT 1
15078602;
15078801;(VARIOS) PARTE 2 -AD PROD 1 HON MEDICO
15078802;
15079301;BALONMANO ACT 1 P-793
15079302;BALONMANO ACT 2 2015.
15079303;BALONMANO P-793 3
15079401;BASQUETBOL  ACT 1 2015...
15079501;NATACION ACT 1 20
15079502;NATACION ACT 2 KK
15079601;PATINAJE ACT 1 P-796
15079602;PATINAJE CARRERA ACT 02
15080601;ATLETISMO ACT 1 P-806
15080603;ATLETISMO ACT 3 2015
15080604;ATLETISMO ACT 4 2015
15080606;ATLETISMO ACT 6 2015
15080607;ATLETISMO ACT 7 2015
15080701;CANOATJE ACT 807
15080901;CICLISMO ACT 1 2015.
15080902;CICLISMO ACT 2 2015.
15080903;ASIGNACION CARLOS OYARZUN
15080904;CICLISMO ACT 4
15081001;P-810 TRIATLON AD 2015 ACT 1
15081101;CICLISMO ACT 1 2015. PASAJES
15081102;CICLISMO ACT 2 MTB
15081201;P-812 PENTATLON MODERNO ACT 1
15081202;P-812 PENTATLON MODERNO 5 AD 2015
15081401;P-814 RACQUETBALL AD 2015
15081501;ACT 1 GOLF 2015
15081502;ACT 2 GOLF 2015
15081503;ACT 3 GOLF 2015
15081601;P-816 TRIATLON AD 2015 ACT 1
15081602;P-816 TRIATLON 4 AD 2015 ACT 2
15081701;P- 817 TIRO AL BLANCO AD 2015 ACT 1
15081702;P-817 TIRO BLANCO USA AD 2015 ACT 3
15081901;PDe Karate 2015
15081902;
15081903;PDE KARATE
15082101;ATLETISMO ACT 1 P-821
15082102;ATLETTISMO ACT 2 P-821
15082103;ATLETISMO ACT 3 2015...
15082104;ATLETISMO ACT 4 P-821
15082105;PASAJE ATLETISMO 2015...
15082201;GIMNASIA ACT 01 2015.
15082202;GIMNASIA ACT 2 2015   .
15082501;P- 825 TKD AD 2015 ACT 1
15082801;P-828 VELA 6 AD 2015
15082901;P- 829 ASIGNACIONES TRANSITORIAS 2 AD 2015
15083001;GIMNASIA ACT 1 PDE
15083002;PDE GYM MUNDIAL GLASSGOW
15083101;JUDO ACT 1
15083102;JUDO ACT 2 2015
15083201;CICLISMO BMX 2015
15083202;CICLISMO ACT 2 2015
15083401;P-834 TENIS MESA 4 AD 2015 ACT 1
15083601;LUCHA ACT 1 2015.....
15083602;LUCHA ACT 2 2015..
15083701;P- 837 TRIATLON 5 AD 2015 ACT 1
15083702;P- 837 TRIATLON  AD 2015 ACT 2
15083801;HOCKEY PATIN ACT 1
15083901;KARATE PDE ACT 1
15083902;ACT 2 KARATE
15083903;KARATE ACT 3 KARATE
15083904;KARATE ACT 4 2015
15084301;P- 843 TENIS 3 AD 2015 PDE
15084302;P- 843 TENIS AD 2015 ACT 2
15084401;KARATE ACT 1 2015....
15084402;
15084801;HEAD COACH PESAS GEORGI PANCHEV
15085101;LUCHA ACT 1 2015
15085301;P- 853 PESAS AD 2015 ACT 1
15086001;P- 860 ASIGNACION ESPEC. TRANSITORIA 3 AD 2015
15086070;ACT 7 ATLETISMO CONCENTRACION NACIONAL
15086201;ACT 1 BALONMANO PDE 2 2015
15086501;BADMINTON ACT 1 2015.
15086502;BADMINTO ACT 2 2015
15086503;BADMINTON ACT 3 2015
15086601;P- 866 PESAS AD 2015 ACT 1
15086604;
15086701;P- 867 RUGBY AD 2015 ACT 1
15086801;P- 868 TAEKWONDO 6 AD 2015 ACT. 1
15087101;GOLF ACT 1
15087201;CANOTAJE
15087401;GOLF P-884
15087601;BALONMANO ACT 1 2015...
15088001;ATLETISMO ACT 1 2015...
15088101;GOLF 2015
15088102;GOLF ACT 2 P-881
15088103;GOLF ACT 3 P-881
15088501;P-885 PESAS PERU AD 2015
15088601;P- 886 SQUASH AD 2015 ACT 1
15089001;P- 890 VARIOS CHILE AD 2015 ACT.1
15090301;ACT 1 NATACION 2015
15090901;P-909 VELA AD 2015 ACT 1
15091001;CANOTAJE ACT 1 2015
15091301;IMPLEMENTACION ATLETISMO
15091401;HOCKEY PATIN
15091601;P-916 TENIS MESA FRAN ESP ALEM AD 2015
15091602;P-916 TENIS MESA ESP ALEM FRAN AD 2015 ACT 2
15091603;P-916 TENIS MESA FRAN ESP ALEM AD 2015 ACT 3
15091701;JUDO ACTIVIDAD 1
15091801;P-918 PESAS CHILE AD 2015
15091901;P-919 REMO CHILE AD 2015
15092001;PATIN ACT 1 SEGURO
15092101;P-921 VOLEIBOL PLAYA BRASIL AD 2015
15092201;GOLF P-922 2015
15092202;GOLF ACT 2
15092501;P-925 RUGBY URUGUAY AD 2015
15092601;ATLETISMO 2015.ACT 1
15093001;ACT 1 ECUESTRE 2015
15093101;P-931 TIRO BLANCO USA AD 2015
15253070;ATLETISMO ACT 7  2015...
15373040;
15426200;
15494010;
15558010;
15559120;
15590010;
15608130;
15885010;
15918010;
15TC0202;
15TR0101;
15VL0102;VELA 2016 ENERO USA- 49ER FX
15VP0101;
16000000;
16002670;
16002800;
16002801;ACTIVIDADES ALTO RENDIEMIENTO 2016 PRIMER TRIMESTRE
16010100;CICLISMO ACT 1 PRIMER TRIMESTRE
16010101;
16016901;
16020100;VOLEY PLAYA GRIMALT 2016 FEB PERU-BRASIL
16020500;
16023701;BALONMANO PDE 2016
16023702;BALONMANO PDE 2016 ACT 2
16023703;BALONMANO PDE 2016 ACT 3
16023704;BALONMANO PDE 2016 ACT 4
16023705;BALONMANO PDE 2016 ACT 5
16023706;BALONMANO PDE 2016 ACT 6
16023707;BALONMANO PDE 2016 ACT 7
16023708;BALONMANO PDE 2016 ACT 8
16023709;BALONMANO PDE 2016 ACT 9
16023710;
16023801;BALONMANO PREOLIMPICO POLONIA 2016
16026700;
16026701;LIGA BALONMANO 2016 ACT 1
16026702;LIGA BALONMANO 2016 ACT 2 CENTRO VARONES
16026703;LIGA BALONMANO 2016 ACT 3 SUR VARONES
16026704;LIGA BALONMANO 2016 ACT 4 NORTE VARONES
16026705;LIGA BALONMANO 2016 ACT 5 CENTRO DAMAS
16026706;LIGA BALONMANO 2016 ACT 6 SUR DAMAS
16026707;LIGA BALONMANO 2016 ACT 7 NORTE DAMAS
16027010;
16028001;
16030601;(HEAD COACH & ENTRENADOR) BALONMANO
16030602;(HEAD COACH & ENTRENADORES) ATLETISMO
16030603;(HEAD COACH Y ENTRENADORES) NATACION
16030604;(HEAD COACH Y ENTRENADORES) VOLEIBOL
16030605;(HEAD COACH & ENTRENADORES) ATLETISMO
16030606;(HEAD COACH Y ENTRENADORES) ATLETISMO
16030607;(HEAD COACH Y ENTRENADORES) PESAS
16030608;(HEAD COACH Y ENTRENADORES) NATACION CLAVADOS
16030609;(HEAD COACH Y ENTRENADORES) ATLETISMO
16030610;(HEAD COACH Y ENTRENADORES) VOLEIBOL PLAYA
16030611;(HEAD COACH & ENTRENADORES) BOXEO
16030612;(HEAD COACH Y ENTRENADORES) LUCHA
16030613;(HEAD COACH - ENTRENADORES) ESGRIMA
16030614;(HEAD COACH Y ENTRENADORES) PATIN CARRERA
16030615;(HEAD COACH & ENTRENADORES) HOCKEY CESPED
16030616;(HEAD COACH Y ENTRENADORES) KARATE
16030617;(HEAD COACH Y ENTRENADORES) ESQUI NAUTICO
16030618;(HEAD COACH Y ENTRENADORES) GIMNASIA
16030619;(HEAD COACH - ENTRENADORES) JUDO
16030620;(HEAD COACH Y ENTRENADORES) REMO
16030621;(HEAD COACH Y ENTRENADORES) TENIS DE CAMPO
16030622;(HEAD COACH & ENTRENADORES) TIRO AL VUELO
16030623;(HEAD COACH Y ENTRENADORES) TIRO CON ARCO
16030624;(HEAD COACH Y ENTRENADORES) ATLETISMO
16030625;(HEAD COACH Y ENTRENADORES) ATLETISMO
16030626;(HEAD COACH & ENTRENADORES) BASQUETBOL
16030627;(HEAD COACH Y ENTRENADORES) RUGBY
16030628;(HEAD COACH & ENTRENADORES) VELA
16030629;(HEAD COACH & ENTRENADORES) TAEKWONDO
16030630;(HEAD COACH & ENTRENADORES) CICLISMO
16030631;(HEAD COACH & ENTRENADORES) CANOTAJE
16030632;(HEAD COACH & ENTRENADORES) PASAJES
16031001;(PATIN HOCKEY) CONCENTRADO NACIONAL IQUIQUE- CHILE
16031301;ACTIVIDADES ALTO RENDIMIENTO 2Á CUATRIMESTRE
16033001;(REMO) ASIGNACIONES APOYO A DEPORTISTAS 2016
16033201;(ESQUI NAUTICO) SENTOSA NIGTH JUMP UCRANIA
16033570;
16034001;(ASIGNACIONES DEPORTISTAS) APOYO A DEPORTISTAS 2016
16034301;
16034401;(PESAS) CONCENTRADO BRASIL AD 2016
