.provi04;
13074002;(CICLISMO) PARTE 2 ACT 2 ESPAãA CARLOS OYARZUN
13074003;(CICLISMO) PARTE 2 ACT 3 ITALIA CARLOS OYARZUN
13074004;(CICLISMO) PARTE 2 ACT 4 CHULA VISTA
13074005;(CICLISMO) PARTE 2 ACT 5 PERU
13074101;(BASQUETBOL) PARTE 2 ACT 1 MEXICO- XALAPA
13074201;(PELOTA VASCA) PARTE 3 MERCEDES - URUGUAY
13074301;(BOWLING) PARTE 3 SAN JOSE- COSTA RICA
13074401;(TIRO AL VUELO) AD 2013 II FRANCIA
13075401;PROY 754 (COMP 420), ACTIVIDAD 1 VIATICOS
13075801;(TECNICOS) HONORARIOS AREA TECNICA TEAM CHILE
13076001;(JUDO) ACT 1 BRASIL FELIPE CACERES
13076002;(JUDO) ACT 2 ESLOVENIA TOMAS BRINGAS Y JOSE SOTO
13076003;(JUDO) ACT 3 CONCENTRADO NACIONAL KARINA ORELLANA
13076501;ATLETISMO ACT 1 ARICA
13076502;ATLETISMO ACT 2 CHILE
13076503;ATLETISMO ACT 3  NACIONAL
13076504;ATLETISMO ACT 4
13076505;ATLETIMOS ACT 5 USA
13076601;SUPERVICONES ACT 1
13076602;SUPERVICIONES ACT 2
13076603;SUPERCIONES ACT 3
13076604;(SUPERVISIONES) ACT NÁ4 JUEGOS BOLIVARIANOS PERU
13077701;(LUCHA) PARTE 3 AD 2013
13077801;ATLETISMO PASAJES KENIATAS
13078501;(BOXEO) COMPLEMENTO P 746 IMP. CEO 400
13078701;(TIRO CON ARCO) AD 2013 III TURQUIA
13079301;GIMNASIA TOMAS GONZALEZ ACT 1
13079401;TENIS
13079402;TENIS ACT 2 USA
13079403;TENIS PARAGUAY ACT 3
13079404;TENIS ACT 4 PERU
13079405;TENIS ACT 5
13079406;TENIS ACT 6 VIATICO
13079601;(PARALIMPICA? PARTE 3 APOYO A DEPORTISTAS 2013
13079602;(PARALIMPICA) USA FCA MARDONES
13079603;(PARALIMPICA) TENIS DE MESA ARGENTINA
13079604;(PARALIMPICA) TENIS DE MESA USA CRISTIAN DETTONI
13079605;(PARALIMPICA) TENIS DE MESA COSTA RICA
13079701;(TENIS MESA) AD 2013 III POLONIA
13079702;(TENIS MESA) AD 2013 III ALEMANIA
13079703;(TENIS MESA) AD 2013 III COLOMBIA
13079801;(TRIATLON) AD 2013 II COLOMBIA
13079802;(TRIALTON) AD 2013 II ALEMANIA
13080000;
13080401;(BOXEO) ACT 1 COLOMBIA
13080501;(REMO) AD 2013 III V VALPO
13080601;(PESAS) AD 2013 VI PERU
13080801;(TIRO AL VUELO) CROVETTO AD 2013 RM
13081001;ESGRIMA 4  APYO DEPORTISTA ACT 1 USA
13081002;ESGRIMA 4 CONCENTRACION CHILE
13081101;(RUGBY) AD 2013 III URUGUAY
13081102;(RUGBY) AD 2013 III ARGENTINA
13081201;(PENTATHLON MODERNO) AD 2013 III MEX
13081300;
13081301;(CICLISMO) ACT 1 COLOMBIA
13081302;(CICLISMO) MTB CONCENTRADO NACIONAL
13081303;(CICLISMO) MTB CONCENTRADO NACIONAL
13081401;(HANDBALL) ACT 1 BILBAO- ESPAãA
13081501;(PATIN CARRERA) HONORARIOS HEAD COACH 2013
13081601;NATACION KK
13081701;(TKD) AD 2013 III UK
13081901;ATLETISMO ACT 1
13081902;ATLETISMO ACT 2 PERU
13082001;GIMNASIA
13082101;(VOLEY PISO) AD 2013 III COLOMBIA
13082102;(VOLEY PISO) AD 2013 III BRASIL
13082201;(PESAS) AD 2013 VII PERU
13082401;ATLETISMO ACT 1 CHILE
13082402;ATLETISMO ACT 2 EEUU
13082403;ATLETISMO ACT 3 CUBA
13082502;IMPLEMENTACION CANOTAJE AD 2013
13082901;(JUDO) ACT 1 TOKYO- JAPON
13083001;(PELOTA VASCA) ACTV 1 PERU
13083301;(JUDO) ACT 1 CONCENTRADO NACIONAL
13083302;(JUDO) ACT 2 JAPON
13083401;ATLETISMO ACT 1
13083501;HANDBALL PARTE 4
13083601;(TIRO CON ARCO) AD 2013 IV ARGENTINA
13083701;(CICLISMO) IMPLEMENTACION DEPORTIVA
13083702;(CICLISMO) IMPLEMENTACION ACT 2
13083801;(PARALIMPICA) ACT 1 USA BOCHAS
13084101;PROYECTO 841, LIGA HANDBALL, PRODUCTO 1 GASTOS GENERALES
13084700;
13084701;(BASQUETBALL) COMPLEMENTARIO LIGA VARONES
13084702;COMPLEMENTO LIGA BASQUETBOL 734
13084801;(PESAS) AD 2013 VII PERU
13084901;(VARIOS) ACT 1 ALIMENTACION DEPORTISTAS CEO
13084902;(VARIOS) ACT 2 CICLISMO USA DANIELA GUAJARDO
13084903;(VARIOS) ACT 3 ATLETISMO FELIPE DE LA FUENTE BRASIL
13084904;(VARIOS) AD 2013 ACT. 4 CHILE
13084905;(VARIOS) ACT 5 4 NACIONES HOCKEY CESPED
13084906;ESGRIMA ACT 6 USA
13085201;(IMPLEMENTACION)  CICLISMO ACT 1
13085401;(VARIOS) ACT 1 BOXEO MIGUEL VELIZ
13085402;(VARIOS PARTE II AD 2013 CHILE
13085601;GIMNASIA ACT 1 CONCENTRADO NACIONAL
13532010;
13578150;
13591030;(TENIS MESA) AD 2013 PTE II
13628010;(CANOTAJE) POLONIA- ALEMANIA
13684002;LIGA NACIONAL BALON MANO
13684003;LIGA NACIONAL BALON MANO
13684006;LIGA NACIONAL BALON MANO
13704001;LIGA NACIONAL DE RUGBY (VIATICOS)
13792100;TRANSPORTE SUDAMERICANO VOLLEY 2012 ACT 1
13794040;TENIS ACT 4 PEUR
13819010;ATLETISMO ACT 1 TOMAS SQUELLA
13849050;
14000000;
14003801;(BASQUETBOL) HEAD COACH 2014
14003901;(BOXEO) HEAD COACH 2014
14004001;(CANOTAJE) HEAD COACH 2014
14004010;
14004101;(ESGRIMA) HEAD COACH 2014
14004201;(ESQUI NAUTICO) HEAD COACH 2014
14004301;(BALONMANO) HEAD COACH 2014
14004401;(JUDO) HEAD COACH 2014
14004501;(HOCKEY CESPED) HEAD COACH 2014
14004601;(LUCHA) HEAD COACH 2014
14004701;CANOTAJE APOYO DEPORTISTA 2014
14004801;(NATACION CLAVADOS) HEAD COACH 2014
14004901;(PESAS) HEAD COACH 2014
14005001;(REMO) HEAD COACH 2014
14005010;
14005101;(SKI ALPINO) HEAD COACH 2014
14005201;(TENIS DE CAMPO) HEAD COACH 2014
14005401;(TIRO CON ARCO) HEAD COACH 2014
14005501;(TIRO AL BLANCO) HEAD COACH 2014
14005601;(VELA) HEAD COACH 2014
14005701;(VOLEIBOL) HEAD COACH 2014
14005801;(NATACION) APOYO DEPORTISTAS 2014
14005802;NATACION ACT 2 ECUADOR
14005803;ACT 3 NATACION CUBA
14005804;ACT 4 NATACION BRASIL
14005805;NATACION ACT 5 SANTIAGO
14005807;NATACION ACT 7 SANTIAGO
14005808;NATACION ACT 8 MEXICO
14005901;PARALIMP AD 2014 CUBA
14006001;NATACION ACT 1 CUBA
14006030;
14006201;KARATE APOYO DEPORTISTA 2014
